"","domain","tote_seite","catkey","category"
"3284","billard-moosburg.de",NA,"N01300","N"
"3285","billardfreundeduisburg.jimdo.com",NA,"N01300","N"
"3286","bipolar-regensburg.cms4people.de",NA,"N04100","N"
"3287","bippener-sc.de",NA,"N01200","N"
"3288","blau-rot-paderborn.de",NA,"N01200","N"
"3289","borussia-derschlag.de",NA,"N01200","N"
"3290","bremermieterschutzbund.de",NA,"N06200","N"
"3291","bridgeverein.de",NA,"N01300","N"
"3292","bruno-groening.at",NA,"N02400","N"
"3293","bsg1397.de",NA,"N01200","N"
"3294","bsv-westig.de",NA,"N01200","N"
"3295","buchfuehrungshelferin.de",NA,"N07200","N"
"3296","bv-dammtor.de",NA,"N06100","N"
"3297","bw-wulfen.de",NA,"N01200","N"
"3298","bzvbedburg.wordpress.com",NA,"N05200","N"
"3299","camargo-hilfe.de",NA,"N08100","N"
"3300","cantus-juvenum.de",NA,"N01100","N"
"3301","carmzower-anglerverein.jimdo.com",NA,"N01200","N"
"3302","cloppenburg.drk.de",NA,"N04200","N"
"3303","club-der-luftfahrt.de",NA,"N01300","N"
"3304","cms.drk-hille.de",NA,"N08100","N"
"3305","coerder-bueger-schuetzen.de.tl",NA,"N01200","N"
"3306","comitato.de",NA,"N09100","N"
"3307","cow-racing-team.de",NA,"N01200","N"
"3308","croatia-versmold.de",NA,"N01200","N"
"3309","dampfbahnmuseum.de",NA,"N01300","N"
"3310","darc.de",NA,"N01300","N"
"3311","de.kabbalah.com",NA,"N08100","N"
"3312","dee2.de",NA,"N01100","N"
"3313","deutscher-bracken-club.de",NA,"N05200","N"
"3314","diakonie-niederberg.de",NA,"N08100","N"
"3315","die-werkstatt-erkrath.de",NA,"N12100","N"
"3316","diedrich-taucharbeiten.de",NA,"N01200","N"
"3317","djk-lindern.de",NA,"N01200","N"
"3318","djk-mastbruch.de",NA,"N01200","N"
"3319","djk-mobile.de",NA,"N01200","N"
"3320","doestiebu.de",NA,"N08100","N"
"3321","dsc-dransfeld.de",NA,"N01200","N"
"3322","dug-wittenberg.de",NA,"N01100","N"
"3323","dvg-haltern-am-see.de",NA,"N05200","N"
"3324","eikevonrepgow.de",NA,"N08100","N"
"3325","einhausfuerunserefreundschaft.de",NA,"N08100","N"
"3326","ellener-dorfmusik.de",NA,"N01100","N"
"3327","elsebad.de",NA,"N08100","N"
"3328","eppelheim.bsv-schach.de",NA,"N01300","N"
"3329","erholung.de.to",NA,"N05100","N"
"3330","eu-bocholt.de",NA,"N07300","N"
"3331","europeanfilmnetwork.de",NA,"N08100","N"
"3332","fane-mv-ev.de",NA,"N08100","N"
"3333","fc-eisborn.cvhr.de",NA,"N01100","N"
"3334","fc-gessel.de",NA,"N01200","N"
"3335","fcpreussen07.de",NA,"N01200","N"
"3336","feg-schwerte.de",NA,"N10100","N"
"3337","feg-witten.de",NA,"N10100","N"
"3338","feuerwehr-pruemzurlay.de",NA,"N04200","N"
"3339","fightarea.de",NA,"N01200","N"
"3340","fischereiverein-burg.com",NA,"N01200","N"
"3341","fitness-kohlscheid.de",NA,"N01200","N"
"3342","fliegerjugend.de",NA,"N01200","N"
"3343","fluggruppe.de",NA,"N01200","N"
"3344","foerdergemeinschaft-schulen.de",NA,"N01100","N"
"3345","franziskaner-do.de",NA,"N10100","N"
"3346","frauensee.de",NA,"N04100","N"
"3347","freizeitclub-ausblick.de",NA,"N01300","N"
"3348","freundethonons.org",NA,"N02300","N"
"3349","fruehfoerderinitiative.de",NA,"N08100","N"
"3350","fsduisburg.de",NA,"N01200","N"
"3351","fsv-gruenweiss-niemegk.de",NA,"N01200","N"
"3352","fussball.tura-elsen.de",NA,"N01200","N"
"3353","fwd-muenster.de",NA,"N04100","N"
"3354","gartenfreunde-md.de",NA,"N05100","N"
"3355","gartenverein-indenwestkaempen.de",NA,"N05100","N"
"3356","gbc1922ev.de",NA,"N01300","N"
"3357","gebrauchshunde-weissenfels.de",NA,"N05200","N"
"3358","gebrauchshundsportverein-weste.de",NA,"N05200","N"
"3359","gefluegelzuchtverein-worms-leiselheim.de",NA,"N05200","N"
"3360","geschichtsverein-inden.de",NA,"N01100","N"
"3361","ghibellinia.org",NA,"N01200","N"
"3362","golf-schlosshausen.de",NA,"N01200","N"
"3363","gqbc-online.com",NA,"N01300","N"
"3364","grossekoelner.de",NA,"N01300","N"
"3365","gruen-weiss.de",NA,"N01200","N"
"3366","gus-heidelberg.de",NA,"N04100","N"
"3367","gutfluganrath.de.tl",NA,"N05200","N"
"3368","gzv-vorderfirmiansreut.de.to",NA,"N05200","N"
"3369","hammerstreetsoccer.de.tl",NA,"N01300","N"
"3370","handball-foerderverein.de",NA,"N01200","N"
"3371","hansatour.de",NA,"N01200","N"
"3372","harzschuetzenbund-gernrode.de",NA,"N01200","N"
"3373","haus-grund-stolberg.de",NA,"N06200","N"
"3374","haus-marienfried.de",NA,"N02300","N"
"3375","haus-nikolaus.de",NA,"N08100","N"
"3376","hc-aussem.de",NA,"N01200","N"
"3377","hechtsheim.de",NA,"N04100","N"
"3378","heidebluetenfest.de",NA,"N01300","N"
"3379","heimatsammlung-ohz.de",NA,"N01300","N"
"3380","heuchelheimer-carnevalverein.de",NA,"N01300","N"
"3381","hlc-hoexter.de",NA,"N01200","N"
"3382","hmf-rulle.de",NA,"N10100","N"
"3383","hsg-kastellaun-simmern.de",NA,"N01200","N"
"3384","hsvessen-kupferdreh.de",NA,"N05200","N"
"3385","hundesport-team-osnabrueck.de",NA,"N05200","N"
"3386","ifd-giessen.de",NA,"N08100","N"
"3387","ikc-berlin.de",NA,"N10100","N"
"3388","imkerverein-mainz.de",NA,"N05200","N"
"3389","jagdverein-alsfeld.de",NA,"N01300","N"
"3390","jrkbvtrier.de",NA,"N03100","N"
"3391","jsc-gerthe.de",NA,"N01200","N"
"3392","judo-verband-schleswig-holstein.de",NA,"N01200","N"
"3393","jz-listerturm.de",NA,"N04100","N"
"3394","jzo.de",NA,"N04100","N"
"3395","k38-harleshausen.npage.de",NA,"N05200","N"
"3396","kaninchen-berching.de.tl",NA,"N05200","N"
"3397","kanu-wesel.de",NA,"N01200","N"
"3398","karate-dojo-dortmund.de",NA,"N01200","N"
"3399","kasseler-bank.de",NA,"N12100","N"
"3400","kg-asterstein.npage.de",NA,"N01300","N"
"3401","kgv-moencheberg.de",NA,"N05100","N"
"3402","kgvfreundschaft.funpic.de",NA,"N05100","N"
"3403","kila-bonn.de",NA,"N08100","N"
"3404","kindergaerten-finkenau.de",NA,"N04100","N"
"3405","kinderhospiz-cuxhaven.de",NA,"N02400","N"
"3406","kinderklinik-ge.de",NA,"N08100","N"
"3407","kinderundjugendheim.de",NA,"N08100","N"
"3408","kindervereinigung-nrw.de",NA,"N02300","N"
"3409","kksv-neumorschen.de.tl",NA,"N01200","N"
"3410","kleingarten-linden.de",NA,"N05100","N"
"3411","klzv-noerten-hdbg.de",NA,"N05200","N"
"3412","kneippverein-gronau.de",NA,"N03400","N"
"3413","koellnflakes.de",NA,"N08100","N"
"3414","koelnertorwache.de",NA,"N01200","N"
"3415","koelschenarrengilde.de",NA,"N10100","N"
"3416","krebse-garnelen.de",NA,"N01100","N"
"3417","krkg.de",NA,"N01200","N"
"3418","ksz.de",NA,"N08100","N"
"3419","ktzv-mudau.de",NA,"N05200","N"
"3420","kvu-bremerhaven.de",NA,"N01200","N"
"3421","lg-bremen.de",NA,"N10100","N"
"3422","liebfrauen-gemeinde.de",NA,"N10100","N"
"3423","liebfrauen-hamm.de",NA,"N10100","N"
"3424","ljv-brandenburg.de",NA,"N01200","N"
"3425","ljv-sh.de",NA,"N01200","N"
"3426","lkj-sachsen.de",NA,"N01100","N"
"3427","lohimettmann.de",NA,"N07200","N"
"3428","lohnsteuerhilfeverein-quadriga-ev.de",NA,"N07200","N"
"3429","longuich-kirsch.de",NA,"N01300","N"
"3430","lopburigymdorsten.jimdo.com",NA,"N01200","N"
"3431","lrv-online.de",NA,"N01200","N"
"3432","lsv-diepholz.de",NA,"N01200","N"
"3433","lts-sport.de",NA,"N01200","N"
"3434","luenen-1332.de",NA,"N01200","N"
"3435","malteser-westerwald.de",NA,"N04100","N"
"3436","mannege.de",NA,"N01300","N"
"3437","marburger-medien.de",NA,"N10100","N"
"3438","mbg-lage.de",NA,"N10100","N"
"3439","mcsteglitz.de",NA,"N01300","N"
"3440","mec-marburg.de",NA,"N01300","N"
"3441","mecbremen.de",NA,"N01300","N"
"3442","meerschweinchen-nothilfe-hamburg.de",NA,"N05200","N"
"3443","mfhohenlimburg.de",NA,"N01200","N"
"3444","mfsc-wes-bislich.beepworld.de",NA,"N01300","N"
"3445","mgv-dansenberg.de",NA,"N01100","N"
"3446","mieterverein-minden.de",NA,"N06200","N"
"3447","mietervereinigung-nord.de",NA,"N06200","N"
"3448","modellsportclub-neustrelitz.net",NA,"N01300","N"
"3449","motorsportfreunde-niederbayern.jimdo.com",NA,"N01200","N"
"3450","mtv-friesen-bakede.de",NA,"N01200","N"
"3451","mtvriede.de",NA,"N01200","N"
"3452","mysterious-monkeys.de",NA,"N01200","N"
"3453","mzwj81.de",NA,"N01200","N"
"3454","n-f-g.de",NA,"N01300","N"
"3455","natur-freizeit.eu",NA,"N01300","N"
"3456","naturfreunde-quint.de",NA,"N01300","N"
"3457","neuruppinerruderclub.de",NA,"N01200","N"
"3458","noatun.de",NA,"N01200","N"
"3459","normannia-heidelberg.de",NA,"N01300","N"
"3460","nrwtv.de",NA,"N01200","N"
"3461","nsgs.de",NA,"N01200","N"
"3462","obdachlosenhilfe-linker-niederrhein.de.tl",NA,"N08100","N"
"3463","og-garrel.de",NA,"N05200","N"
"3464","oldtimerclub-drensteinfurt.de",NA,"N01300","N"
"3465","olympiastuetzpunkt-leipzig.de",NA,"N01200","N"
"3466","onlinemieterverein.de",NA,"N06200","N"
"3467","oratorienchor.info",NA,"N01100","N"
"3468","osdorf-lurup.de",NA,"N01200","N"
"3469","ot-magnet.de",NA,"N04100","N"
"3470","otg-badminton.de",NA,"N01200","N"
"3471","parkinson-heidelberg.de",NA,"N04100","N"
"3472","pfarrverband-steinbuechel.de",NA,"N10100","N"
"3473","poesieboten.de",NA,"N01100","N"
"3474","psv-fussball.de",NA,"N01200","N"
"3475","pt-mods.de",NA,"N01200","N"
"3476","radevormwaldertv.de",NA,"N01200","N"
"3477","rampig.de",NA,"N01100","N"
"3478","rassekaninchenzucht-w171.jimdo.com",NA,"N05200","N"
"3479","rcc-rathenow.com",NA,"N01300","N"
"3480","reformierte-gemeinde.de",NA,"N10100","N"
"3481","reiten-schwerin.de",NA,"N01200","N"
"3482","rgzvnordhorn.de",NA,"N05200","N"
"3483","rhenania-muenster.de",NA,"N01300","N"
"3484","rostbratwurst.wordpress.com",NA,"N01300","N"
"3485","rotaugeac.de.to",NA,"N01200","N"
"3486","rothsteiner-felsenfest.de",NA,"N01300","N"
"3487","rotweisszollstock.de",NA,"N01200","N"
"3488","rudern-in-giessen.de",NA,"N01200","N"
"3489","ruf-roxel.de",NA,"N01200","N"
"3490","rufv-ziethen.de",NA,"N01200","N"
"3491","rv1889schweinfurt.de",NA,"N01200","N"
"3492","saalgaerten.de",NA,"N04100","N"
"3493","samuraikerpen.de",NA,"N01200","N"
"3494","samuraiporz.de",NA,"N01200","N"
"3495","sankt-benedikt-berlin.de",NA,"N10100","N"
"3496","sankt-otto-berlin.de",NA,"N10100","N"
"3497","sc-freinsheim.de",NA,"N01300","N"
"3498","sc-vierhoefen.de",NA,"N01200","N"
"3499","sce-guetersloh.de",NA,"N01200","N"
"3500","scforddn73.de.tl",NA,"N01300","N"
"3501","schepers.gesellschaftsanalyse.de",NA,"N02300","N"
"3502","schiessvereinbokel.de",NA,"N01200","N"
"3503","schueler-scout.de",NA,"N08100","N"
"3504","schuetzenverein-adolphsdorf.de",NA,"N01200","N"
"3505","schuetzenverein-bahlum.de",NA,"N01200","N"
"3506","schuetzenverein-gehlenberg.de",NA,"N01200","N"
"3507","schuetzenverein-hagen1896.de",NA,"N01200","N"
"3508","schuetzenverein-hubertus.de",NA,"N01200","N"
"3509","schuetzenverein-kiel.de",NA,"N01200","N"
"3510","schuetzenverein-obrighoven.de",NA,"N01200","N"
"3511","schuetzenverein-schney.de",NA,"N01200","N"
"3512","schwielowsee-tourismus.de",NA,"N01300","N"
"3513","segel-klub-minden.de",NA,"N01200","N"
"3514","seglerverein-norderney.de",NA,"N01200","N"
"3515","selimiyelehrte.de",NA,"N09100","N"
"3516","sg-1920-battenfeld.piczo.com",NA,"N01200","N"
"3517","sg-ebsdorfergrund.jimdo.com",NA,"N01200","N"
"3518","sg-egels-popens.de",NA,"N01200","N"
"3519","sg-stolzenau.de",NA,"N01200","N"
"3520","sge-ergste.de",NA,"N01200","N"
"3521","sgschemmergrund.de",NA,"N01200","N"
"3522","sms1871.de",NA,"N01200","N"
"3523","smzveckenstedt.jimdo.com",NA,"N01100","N"
"3524","snookerverein-oranienburg.de",NA,"N01300","N"
"3525","sonnenhof-ev.de",NA,"N04100","N"
"3526","sozialpaedagogisches-jugendwohnen.de",NA,"N04100","N"
"3527","sportanglerklub-anker.de",NA,"N01200","N"
"3528","sports-ski.de",NA,"N01200","N"
"3529","sportschuetzen-olfen.de",NA,"N01200","N"
"3530","spsch-nordluenen-alstedde.de",NA,"N01200","N"
"3531","ssc-soest-sued.de",NA,"N01200","N"
"3532","ssv-gimbsheim.de",NA,"N01200","N"
"3533","ssv-strahlenburg.de",NA,"N01200","N"
"3534","st-barbara-ge.de",NA,"N10100","N"
"3535","st-josef-verden.de",NA,"N10100","N"
"3536","st-katharina-huerth.de",NA,"N10100","N"
"3537","st-marien.eichsfeld-net.de",NA,"N10100","N"
"3538","st-mathias.de",NA,"N01200","N"
"3539","st-peter-und-paul-holdorf.de",NA,"N10100","N"
"3540","stadtmarketing-wetter.de",NA,"N11100","N"
"3541","stejh.de",NA,"N10100","N"
"3542","sterkrade06-07.de",NA,"N01200","N"
"3543","studienplatztausch.de",NA,"N01300","N"
"3544","sus-eberhausen.de",NA,"N01200","N"
"3545","sv-abs-aue.de",NA,"N01200","N"
"3546","sv-hilden-nord.de",NA,"N01200","N"
"3547","sv-kruloh.de",NA,"N01200","N"
"3548","sv-poseidon-bockenem.de",NA,"N01200","N"
"3549","svhohenwepel.de",NA,"N01200","N"
"3550","svnordleda.de",NA,"N01200","N"
"3551","svrethorn.de",NA,"N01200","N"
"3552","taekwondoschule-boettcher.de",NA,"N01200","N"
"3553","tanzen-in-rostock.npage.de",NA,"N01200","N"
"3554","tc-blau-weiss-hohen-neuendorf.de",NA,"N01200","N"
"3555","tc-hurrican.de",NA,"N01200","N"
"3556","tc-mudau.de",NA,"N01200","N"
"3557","tclangenbektal.de",NA,"N01200","N"
"3558","tcsccberlin.de",NA,"N01200","N"
"3559","tennis-pankow.de",NA,"N01200","N"
"3560","test.wemeet.de",NA,"N01300","N"
"3561","tierheim-drakenburg.de",NA,"N05200","N"
"3562","tiertafelherten.wordpress.com",NA,"N05200","N"
"3563","tischtennis-training-hamburg.de",NA,"N01200","N"
"3564","tk-am-stadtwald.de",NA,"N01200","N"
"3565","tkdz-wellen.de",NA,"N01200","N"
"3566","trierer-sporttaucher.de",NA,"N01200","N"
"3567","ts-woltmershausen.de",NA,"N01200","N"
"3568","tsc-nordlicht-rostock.de",NA,"N01200","N"
"3569","tsf-herdecke.net",NA,"N01200","N"
"3570","tsk-sankt-augustin.de",NA,"N01200","N"
"3571","tsv-bulach.de",NA,"N01200","N"
"3572","tsv-dunningen.de",NA,"N01200","N"
"3573","tsv-luenen.de",NA,"N01200","N"
"3574","tsv-menden.de",NA,"N01200","N"
"3575","tsv-ruenderoth.de",NA,"N01200","N"
"3576","tsvbassen.de",NA,"N01200","N"
"3577","tsvsaxonia.de",NA,"N01200","N"
"3578","ttc-wegberg.de",NA,"N01200","N"
"3579","tus-suelbeck.de",NA,"N01200","N"
"3580","tus-varel-09.de",NA,"N01200","N"
"3581","tuszuelpich-handball.de",NA,"N01200","N"
"3582","tv-menslage.de",NA,"N01200","N"
"3583","tv-rw-ebsdorfergrund.de",NA,"N01200","N"
"3584","tvg-linden.de",NA,"N01200","N"
"3585","tvleer.de",NA,"N01200","N"
"3586","twistesee-info.de",NA,"N01200","N"
"3587","u4ebagermania.narod2.ru",NA,"N01300","N"
"3588","ujz-glocksee.de",NA,"N04100","N"
"3589","ursulinen-duderstadt.de",NA,"N10100","N"
"3590","vbfa.de",NA,"N08100","N"
"3591","vdgn.de",NA,"N06200","N"
"3592","verkehrswacht-oschatz.de",NA,"N11100","N"
"3593","vfr-wickenrode.de",NA,"N01200","N"
"3594","victoria-linden.de",NA,"N01200","N"
"3595","volleyball.bayern07.de",NA,"N01200","N"
"3596","vorwaerts-augustfehn.de",NA,"N01200","N"
"3597","walberberg.info",NA,"N01300","N"
"3598","walkenried.dlrg.de",NA,"N04200","N"
"3599","wdw.community-board.com",NA,"N01200","N"
"3600","weihrauchrocker.de",NA,"N10100","N"
"3601","wilhelmshoehe-open.de",NA,"N01200","N"
"3602","wsv08johanngeorgenstadt.de",NA,"N01200","N"
"3603","wushuvereinkiel.de",NA,"N01200","N"
"3604","ww.kiv-ennepe-ruhr.de",NA,"N05200","N"
"3605","www.1-chemnitzer-tauchverein.de",NA,"N01200","N"
"3606","www.1-mannheimer-judo-club.de",NA,"N01200","N"
"3607","www.1-sc-norderstedt.de",NA,"N01200","N"
"3608","www.1-skatsportverein-heiligenstadt.de",NA,"N01200","N"
"3609","www.1860marburg.de",NA,"N01200","N"
"3610","www.1990greif.de",NA,"N01200","N"
"3611","www.1dortmunderkanuverein.de",NA,"N01200","N"
"3612","www.1fc-luebars.de",NA,"N01200","N"
"3613","www.1fcberlin06.de",NA,"N01200","N"
"3614","www.1fcmg.de",NA,"N01200","N"
"3615","www.1jcmg.de",NA,"N01200","N"
"3616","www.1nsc.de",NA,"N01200","N"
"3617","www.1prv.de",NA,"N05200","N"
"3618","www.1rfc02.de",NA,"N01200","N"
"3619","www.1skv-moers.de",NA,"N01200","N"
"3620","www.38-er.de",NA,"N01300","N"
"3621","www.3bberlintt.de",NA,"N01200","N"
"3622","www.3einigkeit.de",NA,"N10100","N"
"3623","www.4x4club-leipzig.de",NA,"N01300","N"
"3624","www.5komma4.de",NA,"N04100","N"
"3625","www.914-6-club.de",NA,"N01300","N"
"3626","www.aachen-attraktiv.de",NA,"N01200","N"
"3627","www.aachen-congress.de",NA,"N01300","N"
"3628","www.aachener-jugendring.de",NA,"N04100","N"
"3629","www.aachener-kirchenmusik.de",NA,"N10100","N"
"3630","www.aarontec.de",NA,"N10100","N"
"3631","www.aba-fachverband.org",NA,"N04100","N"
"3632","www.abbev.de",NA,"N08100","N"
"3633","www.abenden.com",NA,"N06100","N"
"3634","www.absv.de",NA,"N04100","N"
"3635","www.abt-torgau-ev.de",NA,"N02300","N"
"3636","www.abtei-fulda.de",NA,"N10100","N"
"3637","www.abtei-kornelimuenster.de",NA,"N10100","N"
"3638","www.abteikirche-sayn.de",NA,"N10100","N"
"3639","www.abteutonia.de",NA,"N01300","N"
"3640","www.abtreibung.de",NA,"N04130","N"
"3641","www.abu-bakr.de",NA,"N10100","N"
"3642","www.abv.de",NA,"N08100","N"
"3643","www.ac-eintracht-frankfurt.de",NA,"N01200","N"
"3644","www.ac-heros-berlin.de",NA,"N01200","N"
"3645","www.ac-minden.de",NA,"N01200","N"
"3646","www.ac-pommern.de",NA,"N01200","N"
"3647","www.ac-schlitz.de",NA,"N01200","N"
"3648","www.ac77.de",NA,"N01300","N"
"3649","www.acara-helmstedt.de",NA,"N01100","N"
"3650","www.achimer-bogenschuetzen.de",NA,"N01200","N"
"3651","www.acs-taekwondo-centers.de",NA,"N04100","N"
"3652","www.active-data.de",NA,"N01200","N"
"3653","www.activecar.de",NA,"N10100","N"
"3654","www.acud.de",NA,"N01100","N"
"3655","www.acv-mannheim.de",NA,"N01300","N"
"3656","www.adac-fsz-westfalen.de",NA,"N01200","N"
"3657","www.adac.de",NA,"N01200","N"
"3658","www.adfc-bonn.de",NA,"N01200","N"
"3659","www.adfc-braunschweig.de",NA,"N01200","N"
"3660","www.adfc-hannover.de",NA,"N01200","N"
"3661","www.adfc-lsa.de",NA,"N01200","N"
"3662","www.adfc-northeim.de",NA,"N01200","N"
"3663","www.adfc-nrw.de",NA,"N01200","N"
"3664","www.adfc-sh.de",NA,"N01200","N"
"3665","www.adfc.de",NA,"N01200","N"
"3666","www.adh-tuning.com",NA,"N01300","N"
"3667","www.adh-weidenau.de",NA,"N01200","N"
"3668","www.aditus-ev.de",NA,"N02300","N"
"3669","www.adler-weseke.de",NA,"N01200","N"
"3670","www.adlerinstitut-berlin.de",NA,"N04100","N"
"3671","www.adorferschuetzenverein.de",NA,"N01200","N"
"3672","www.adr-web.de",NA,"N05200","N"
"3673","www.adrenalinsport-herne.de",NA,"N01200","N"
"3674","www.adrk.de",NA,"N05200","N"
"3675","www.ads-flensburg.de",NA,"N01100","N"
"3676","www.ads-jugendtreff-ramsharde.de",NA,"N01200","N"
"3677","www.advance-yachtcharter.de",NA,"N01200","N"
"3678","www.advent-grundschule.de",NA,"N10100","N"
"3679","www.adventgemeinde-rostock.de",NA,"N10100","N"
"3680","www.adventgemeindebensberg.de",NA,"N10100","N"
"3681","www.aegir-uerdingen.de",NA,"N01200","N"
"3682","www.aero-club-bhv.de",NA,"N01200","N"
"3683","www.aerodrom.de",NA,"N01300","N"
"3684","www.aerzte-ohne-grenzen.de",NA,"N08100","N"
"3685","www.aerzteohnegrenzen.de",NA,"N11100","N"
"3686","www.afcdeerns.de",NA,"N01200","N"
"3687","www.afghan-peacemaker.org",NA,"N09100","N"
"3688","www.afghanischer-frauenverein.de",NA,"N01300","N"
"3689","www.afh-giessen.de",NA,"N04100","N"
"3690","www.afj-charlottenburg.de",NA,"N10100","N"
"3691","www.afs.de",NA,"N01100","N"
"3692","www.afvnrw.de",NA,"N01200","N"
"3693","www.ag-musik.de",NA,"N01100","N"
"3694","www.ag-stemmer.de",NA,"N04100","N"
"3695","www.agab.de",NA,"N08100","N"
"3696","www.ageh.de",NA,"N08100","N"
"3697","www.aghg.de",NA,"N06200","N"
"3698","www.agkamed.de",NA,"N11100","N"
"3699","www.agmo.de",NA,"N08100","N"
"3700","www.agricola-nrw.de",NA,"N04100","N"
"3701","www.agricola.de",NA,"N01300","N"
"3702","www.agtiere.de",NA,"N05200","N"
"3703","www.agtierschutz.de",NA,"N05200","N"
"3704","www.agv-lippe.de",NA,"N11100","N"
"3705","www.ahabs.de",NA,"N01100","N"
"3706","www.ahaus.de",NA,"N10100","N"
"3707","www.ahlener-carneval-club.com",NA,"N01300","N"
"3708","www.ahrensburger-buergerverein.de",NA,"N06100","N"
"3709","www.ahrensburger-stadtforum.de",NA,"N01300","N"
"3710","www.aids-hilfe-kreis-olpe.de",NA,"N08100","N"
"3711","www.aids-stiftung.de",NA,"N08100","N"
"3712","www.aidshilfe-bielefeld.de",NA,"N08100","N"
"3713","www.aidshilfe-bremen.de",NA,"N04100","N"
"3714","www.aidshilfe-heidelberg.de",NA,"N08100","N"
"3715","www.aidshilfe-lueneburg.de",NA,"N08100","N"
"3716","www.aidshilfe-osnabrueck.de",NA,"N08100","N"
"3717","www.aidshilfe-solingen.de",NA,"N08100","N"
"3718","www.aidshilfe.de",NA,"N08100","N"
"3719","www.aif.de",NA,"N08100","N"
"3720","www.aig-hamburg.de",NA,"N01300","N"
"3721","www.aikido-dojo-seishinkan.de",NA,"N01200","N"
"3722","www.aikido-leipzig.de",NA,"N01200","N"
"3723","www.aikido-luebeck.de",NA,"N01200","N"
"3724","www.aikido-mobil.de",NA,"N01200","N"
"3725","www.aikido-monheim.de",NA,"N01200","N"
"3726","www.aikido-steglitz.de",NA,"N01200","N"
"3727","www.aikido-wedel.de",NA,"N01200","N"
"3728","www.aip-ev.org",NA,"N02300","N"
"3729","www.aiv-berlin.de",NA,"N11100","N"
"3730","www.ajz.de",NA,"N04100","N"
"3731","www.ajzbahndamm.de",NA,"N04100","N"
"3732","www.akademiefuertechnik.de",NA,"N01300","N"
"3733","www.akaflieg-berlin.de",NA,"N01200","N"
"3734","www.akaflieg-braunschweig.de",NA,"N01300","N"
"3735","www.akaflieg-hannover.de",NA,"N01300","N"
"3736","www.akelei-online.de",NA,"N01300","N"
"3737","www.akib.de",NA,"N01200","N"
"3738","www.akkordeon-freunde-oberhausen.com",NA,"N01100","N"
"3739","www.akkordeon-sh.de",NA,"N01100","N"
"3740","www.aksb.de",NA,"N10100","N"
"3741","www.aktion-hfk.de",NA,"N04200","N"
"3742","www.aktion-kinderparadies.de",NA,"N08100","N"
"3743","www.aktionsgruppen.de",NA,"N08100","N"
"3744","www.aktiv-gegen-rassismus.de",NA,"N08100","N"
"3745","www.aktiv-gegen-rechts.de",NA,"N07300","N"
"3746","www.aktive-senioren-leipzig.de",NA,"N08100","N"
"3747","www.aktivelernhilfe.de",NA,"N02300","N"
"3748","www.aktivoli.de",NA,"N08100","N"
"3749","www.aktuell-lohnsteuerhilfe.de",NA,"N07200","N"
"3750","www.akutrangers.de",NA,"N01200","N"
"3751","www.akv.de",NA,"N01300","N"
"3752","www.al-lohi.de",NA,"N07200","N"
"3753","www.ala-ev.de",NA,"N01100","N"
"3754","www.alania-aachen.de",NA,"N01300","N"
"3755","www.alania-bonn.de",NA,"N01300","N"
"3756","www.alba-pipe-band.de",NA,"N01100","N"
"3757","www.albaberlin.de",NA,"N01200","N"
"3758","www.albatrosev.de",NA,"N08100","N"
"3759","www.albert-schweitzer.de",NA,"N08100","N"
"3760","www.alchetal.de",NA,"N01200","N"
"3761","www.alemannia-aachen.de",NA,"N01200","N"
"3762","www.alemannia-kamp.de",NA,"N01200","N"
"3763","www.alemannia-mariadorf.de",NA,"N01200","N"
"3764","www.alemannia-thuringia.de",NA,"N01300","N"
"3765","www.alemannia.de",NA,"N01300","N"
"3766","www.alep-wasserwerk.de",NA,"N04100","N"
"3767","www.alevi-bochum.de",NA,"N01100","N"
"3768","www.alexanderkirche.de",NA,"N10100","N"
"3769","www.alhambra.de",NA,"N08100","N"
"3770","www.alive-vocals.de",NA,"N01100","N"
"3771","www.alken.de",NA,"N01300","N"
"3772","www.allemannia.de",NA,"N01300","N"
"3773","www.allergieverein-europa.de",NA,"N08100","N"
"3774","www.allergodome.de",NA,"N08100","N"
"3775","www.allgemeiner-hilfsdienst.de",NA,"N08100","N"
"3776","www.allround-sport-ev.de",NA,"N01200","N"
"3777","www.almendorfer-ponyfreunde.de",NA,"N01200","N"
"3778","www.alpener-werbering.de",NA,"N11100","N"
"3779","www.alpenverein-bielefeld.de",NA,"N01200","N"
"3780","www.alpenverein-giessen.de",NA,"N01300","N"
"3781","www.alpenverein-hagen.de",NA,"N01300","N"
"3782","www.alpenverein-kassel.de",NA,"N01300","N"
"3783","www.alpenverein-oldenburg.de",NA,"N01300","N"
"3784","www.alpenverein-trier.de",NA,"N01300","N"
"3785","www.alpin-skiclub-potsdam.de",NA,"N01200","N"
"3786","www.alpinclub-hannover.de",NA,"N01300","N"
"3787","www.alraune-frauenberatung.de",NA,"N01300","N"
"3788","www.alster-canoe-club.de",NA,"N01200","N"
"3789","www.alster-dojo.de",NA,"N01200","N"
"3790","www.alsterclub.de",NA,"N01200","N"
"3791","www.alstereck.de",NA,"N01200","N"
"3792","www.alt-ahrweiler.de",NA,"N01300","N"
"3793","www.alt-garbsen.de",NA,"N10100","N"
"3794","www.alt-koellen.de",NA,"N01300","N"
"3795","www.alte-feuerwache.de",NA,"N04200","N"
"3796","www.alte-fischraeucherei.de",NA,"N01300","N"
"3797","www.alte-garde-ramsdorf.de",NA,"N01100","N"
