"","X","domain","tote_seite","catkey","category"
"3721",3722,"www.aikido-leipzig.de",NA,"N01200","N"
"3722",3723,"www.aikido-luebeck.de",NA,"N01200","N"
"3723",3724,"www.aikido-mobil.de",NA,"N01200","N"
"3724",3725,"www.aikido-monheim.de",NA,"N01200","N"
"3725",3726,"www.aikido-steglitz.de",NA,"N01200","N"
"3726",3727,"www.aikido-wedel.de",NA,"N01200","N"
"3727",3728,"www.aip-ev.org",NA,"N02300","N"
"3728",3729,"www.aiv-berlin.de",NA,"N11100","N"
"3729",3730,"www.ajz.de",NA,"N04100","N"
"3730",3731,"www.ajzbahndamm.de",NA,"N04100","N"
"3731",3732,"www.akademiefuertechnik.de",NA,"N01300","N"
"3732",3733,"www.akaflieg-berlin.de",NA,"N01200","N"
"3733",3734,"www.akaflieg-braunschweig.de",NA,"N01300","N"
"3734",3735,"www.akaflieg-hannover.de",NA,"N01300","N"
"3735",3736,"www.akelei-online.de",NA,"N01300","N"
"3736",3737,"www.akib.de",NA,"N01200","N"
"3737",3738,"www.akkordeon-freunde-oberhausen.com",NA,"N01100","N"
"3738",3739,"www.akkordeon-sh.de",NA,"N01100","N"
"3739",3740,"www.aksb.de",NA,"N10100","N"
"3740",3741,"www.aktion-hfk.de",NA,"N04200","N"
"3741",3742,"www.aktion-kinderparadies.de",NA,"N08100","N"
"3742",3743,"www.aktionsgruppen.de",NA,"N08100","N"
"3743",3744,"www.aktiv-gegen-rassismus.de",NA,"N08100","N"
"3744",3745,"www.aktiv-gegen-rechts.de",NA,"N07300","N"
"3745",3746,"www.aktive-senioren-leipzig.de",NA,"N08100","N"
"3746",3747,"www.aktivelernhilfe.de",NA,"N02300","N"
"3747",3748,"www.aktivoli.de",NA,"N08100","N"
"3748",3749,"www.aktuell-lohnsteuerhilfe.de",NA,"N07200","N"
"3749",3750,"www.akutrangers.de",NA,"N01200","N"
"3750",3751,"www.akv.de",NA,"N01300","N"
"3751",3752,"www.al-lohi.de",NA,"N07200","N"
"3752",3753,"www.ala-ev.de",NA,"N01100","N"
"3753",3754,"www.alania-aachen.de",NA,"N01300","N"
"3754",3755,"www.alania-bonn.de",NA,"N01300","N"
"3755",3756,"www.alba-pipe-band.de",NA,"N01100","N"
"3756",3757,"www.albaberlin.de",NA,"N01200","N"
"3757",3758,"www.albatrosev.de",NA,"N08100","N"
"3758",3759,"www.albert-schweitzer.de",NA,"N08100","N"
"3759",3760,"www.alchetal.de",NA,"N01200","N"
"3760",3761,"www.alemannia-aachen.de",NA,"N01200","N"
"3761",3762,"www.alemannia-kamp.de",NA,"N01200","N"
"3762",3763,"www.alemannia-mariadorf.de",NA,"N01200","N"
"3763",3764,"www.alemannia-thuringia.de",NA,"N01300","N"
"3764",3765,"www.alemannia.de",NA,"N01300","N"
"3765",3766,"www.alep-wasserwerk.de",NA,"N04100","N"
"3766",3767,"www.alevi-bochum.de",NA,"N01100","N"
"3767",3768,"www.alexanderkirche.de",NA,"N10100","N"
"3768",3769,"www.alhambra.de",NA,"N08100","N"
"3769",3770,"www.alive-vocals.de",NA,"N01100","N"
"3770",3771,"www.alken.de",NA,"N01300","N"
"3771",3772,"www.allemannia.de",NA,"N01300","N"
"3772",3773,"www.allergieverein-europa.de",NA,"N08100","N"
"3773",3774,"www.allergodome.de",NA,"N08100","N"
"3774",3775,"www.allgemeiner-hilfsdienst.de",NA,"N08100","N"
"3775",3776,"www.allround-sport-ev.de",NA,"N01200","N"
"3776",3777,"www.almendorfer-ponyfreunde.de",NA,"N01200","N"
"3777",3778,"www.alpener-werbering.de",NA,"N11100","N"
"3778",3779,"www.alpenverein-bielefeld.de",NA,"N01200","N"
"3779",3780,"www.alpenverein-giessen.de",NA,"N01300","N"
"3780",3781,"www.alpenverein-hagen.de",NA,"N01300","N"
"3781",3782,"www.alpenverein-kassel.de",NA,"N01300","N"
"3782",3783,"www.alpenverein-oldenburg.de",NA,"N01300","N"
"3783",3784,"www.alpenverein-trier.de",NA,"N01300","N"
"3784",3785,"www.alpin-skiclub-potsdam.de",NA,"N01200","N"
"3785",3786,"www.alpinclub-hannover.de",NA,"N01300","N"
"3786",3787,"www.alraune-frauenberatung.de",NA,"N01300","N"
"3787",3788,"www.alster-canoe-club.de",NA,"N01200","N"
"3788",3789,"www.alster-dojo.de",NA,"N01200","N"
"3789",3790,"www.alsterclub.de",NA,"N01200","N"
"3790",3791,"www.alstereck.de",NA,"N01200","N"
"3791",3792,"www.alt-ahrweiler.de",NA,"N01300","N"
"3792",3793,"www.alt-garbsen.de",NA,"N10100","N"
"3793",3794,"www.alt-koellen.de",NA,"N01300","N"
"3794",3795,"www.alte-feuerwache.de",NA,"N04200","N"
"3795",3796,"www.alte-fischraeucherei.de",NA,"N01300","N"
"3796",3797,"www.alte-garde-ramsdorf.de",NA,"N01100","N"
"3797",3798,"www.altebrauerei-annaberg.de",NA,"N04100","N"
"3798",3799,"www.altekirchen.de",NA,"N08100","N"
"3799",3800,"www.altenceller-vorstadt.de",NA,"N01200","N"
"3800",3801,"www.altenvoerder-sv.de",NA,"N01200","N"
"3801",3802,"www.altenzentrum-sanktstephan.de",NA,"N10100","N"
"3802",3803,"www.altesgut.de",NA,"N04100","N"
"3803",3804,"www.altglienicke24.de",NA,"N06100","N"
"3804",3805,"www.altonanord.de",NA,"N06100","N"
"3805",3806,"www.altstadtherbst.de",NA,"N08100","N"
"3806",3807,"www.alzheimer-hamburg.de",NA,"N08100","N"
"3807",3808,"www.ama-optik.de",NA,"N11100","N"
"3808",3809,"www.amateurfunk-im-alstertal.de",NA,"N01300","N"
"3809",3810,"www.amateurrennsport.de",NA,"N01200","N"
"3810",3811,"www.ambiente-wohndesign.de",NA,"N11100","N"
"3811",3812,"www.ambrosius-ostbevern.de",NA,"N10100","N"
"3812",3813,"www.amdalliance.de",NA,"N08100","N"
"3813",3814,"www.amerikazentrum.de",NA,"N01100","N"
"3814",3815,"www.amiciketz.de",NA,"N01100","N"
"3815",3816,"www.amicitia-mannheim.de",NA,"N01200","N"
"3816",3817,"www.amnesty-bremen.de",NA,"N08100","N"
"3817",3818,"www.amnesty-mainz.de",NA,"N08100","N"
"3818",3819,"www.amnesty.de",NA,"N08100","N"
"3819",3820,"www.amz-si.de",NA,"N11100","N"
"3820",3821,"www.andernacher-tennisclub.de",NA,"N01200","N"
"3821",3822,"www.andheri.de",NA,"N08100","N"
"3822",3823,"www.angaria.de",NA,"N01200","N"
"3823",3824,"www.angelfreund.eu",NA,"N01200","N"
"3824",3825,"www.angelfreunde-kroev.de",NA,"N01200","N"
"3825",3826,"www.angelsportverein-dortmund.de",NA,"N01200","N"
"3826",3827,"www.angelsportverein-kleve.de",NA,"N01200","N"
"3827",3828,"www.angelverein-kelbra.de",NA,"N01200","N"
"3828",3829,"www.angelverein-koelleda.de",NA,"N01200","N"
"3829",3830,"www.angelverein-lauterberg.de",NA,"N01200","N"
"3830",3831,"www.angelverein-otterndorf.de",NA,"N01200","N"
"3831",3832,"www.anglers-treff.de",NA,"N01200","N"
"3832",3833,"www.anglerverein-achim.de",NA,"N01200","N"
"3833",3834,"www.anglerverein-eisvogel.de",NA,"N01200","N"
"3834",3835,"www.anglerverein-fruehauf.de",NA,"N01200","N"
"3835",3836,"www.anglerverein-lubowsee.de",NA,"N01200","N"
"3836",3837,"www.anker-leipzig.de",NA,"N08100","N"
"3837",3838,"www.anklamer-basketball-club.de",NA,"N01200","N"
"3838",3839,"www.anklamer-ruderklub.de",NA,"N01200","N"
"3839",3840,"www.anlagenhygiene.de",NA,"N11100","N"
"3840",3841,"www.annaberg.de",NA,"N01300","N"
"3841",3842,"www.annakirche.de",NA,"N10100","N"
"3842",3843,"www.anonyme-spieler.org",NA,"N08100","N"
"3843",3844,"www.anskar-west.de",NA,"N10100","N"
"3844",3845,"www.antikriegshaus.de",NA,"N01100","N"
"3845",3846,"www.antonius-gilde.de",NA,"N01200","N"
"3846",3847,"www.antonius-wuppertal.de",NA,"N10100","N"
"3847",3848,"www.anubias-aquarien.eu",NA,"N01100","N"
"3848",3849,"www.aow.mynetcologne.de",NA,"N01100","N"
"3849",3850,"www.aphex.org",NA,"N01200","N"
"3850",3851,"www.apostel-harburg.de",NA,"N10100","N"
"3851",3852,"www.aquanautic-tauchsport.de",NA,"N01200","N"
"3852",3853,"www.aquarienfreunde-langelsheim.de",NA,"N01100","N"
"3853",3854,"www.aquarienfreunde-weyhe.de",NA,"N01100","N"
"3854",3855,"www.aquarienverein-soest.de",NA,"N01100","N"
"3855",3856,"www.arbeit-und-leben.de",NA,"N07300","N"
"3856",3857,"www.arbeitskreis-lernforschung.de",NA,"N02300","N"
"3857",3858,"www.arbeitskreis-phoenix.de",NA,"N08100","N"
"3858",3859,"www.arbeitsmedizin-remscheid.de",NA,"N11100","N"
"3859",3860,"www.arcade-ekg.de",NA,"N11100","N"
"3860",3861,"www.arche-deutschland.de",NA,"N08100","N"
"3861",3862,"www.arenaoberschleems.de",NA,"N01200","N"
"3862",3863,"www.argekrebsnw.de",NA,"N03400","N"
"3863",3864,"www.arhoena.de",NA,"N01200","N"
"3864",3865,"www.aric.de",NA,"N08100","N"
"3865",3866,"www.ariston.de",NA,"N11100","N"
"3866",3867,"www.arka-kulturwerkstatt.de",NA,"N01100","N"
"3867",3868,"www.arminia-klosterhardt.de",NA,"N01200","N"
"3868",3869,"www.arminiahannover.de",NA,"N01200","N"
"3869",3870,"www.armino-hercynia.de",NA,"N01300","N"
"3870",3871,"www.arnsberg-info.de",NA,"N02300","N"
"3871",3872,"www.ars-digitalis.de",NA,"N08100","N"
"3872",3873,"www.art-real.de",NA,"N01100","N"
"3873",3874,"www.artur-becker.de",NA,"N01200","N"
"3874",3875,"www.arv-hanseat.de",NA,"N01200","N"
"3875",3876,"www.arv-kiel.de",NA,"N01200","N"
"3876",3877,"www.asb-bonn-rsk.de",NA,"N08100","N"
"3877",3878,"www.asb-kh.de",NA,"N08100","N"
"3878",3879,"www.asb-regionalverband.de",NA,"N08100","N"
"3879",3880,"www.asb-rhein-neckar.de",NA,"N08100","N"
"3880",3881,"www.asbh-hamburg.de",NA,"N04100","N"
"3881",3882,"www.asc-geretsried.de",NA,"N01200","N"
"3882",3883,"www.asc-krefeld.de",NA,"N01200","N"
"3883",3884,"www.asc-potsdam.de",NA,"N01300","N"
"3884",3885,"www.asc-tigers.de",NA,"N01200","N"
"3885",3886,"www.asc-zander-ev-neuwied.de",NA,"N01200","N"
"3886",3887,"www.asc09.de",NA,"N01200","N"
"3887",3888,"www.asccelle.com",NA,"N01300","N"
"3888",3889,"www.asg-bildungsforum.de",NA,"N08100","N"
"3889",3890,"www.asg-elsdorf-tennis.de",NA,"N01200","N"
"3890",3891,"www.asg-elsdorf.de",NA,"N01200","N"
"3891",3892,"www.asilclub.org",NA,"N01200","N"
"3892",3893,"www.asj-bremen.de",NA,"N08100","N"
"3893",3894,"www.asj-hh-bergedorf-rothenburgsort.de",NA,"N04100","N"
"3894",3895,"www.asp-eimsbuettel.de",NA,"N01300","N"
"3895",3896,"www.asta-detmold.de",NA,"N01300","N"
"3896",3897,"www.asta-uni-vechta.de",NA,"N01300","N"
"3897",3898,"www.astafu.de",NA,"N01300","N"
"3898",3899,"www.astaonline.de",NA,"N01300","N"
"3899",3900,"www.astro-rock.de",NA,"N02400","N"
"3900",3901,"www.asum-berlin.de",NA,"N06200","N"
"3901",3902,"www.asv-1920hockenheim.de",NA,"N01200","N"
"3902",3903,"www.asv-asslar.de",NA,"N01200","N"
"3903",3904,"www.asv-braunschweig.de",NA,"N01200","N"
"3904",3905,"www.asv-dalbke.de",NA,"N01200","N"
"3905",3906,"www.asv-duisburg.de",NA,"N01200","N"
"3906",3907,"www.asv-eschenburg.de",NA,"N01200","N"
"3907",3908,"www.asv-hamm.de",NA,"N01200","N"
"3908",3909,"www.asv-heimbach.de",NA,"N01200","N"
"3909",3910,"www.asv-hillerse.de",NA,"N01200","N"
"3910",3911,"www.asv-hirzweiler.jimdo.com",NA,"N01200","N"
"3911",3912,"www.asv-kiel.de",NA,"N01200","N"
"3912",3913,"www.asv-koenen.de",NA,"N01200","N"
"3913",3914,"www.asv-lank.de",NA,"N01200","N"
"3914",3915,"www.asv-sangerhausen.de",NA,"N01200","N"
"3915",3916,"www.asv08.de",NA,"N01200","N"
"3916",3917,"www.asvibbenbueren.de",NA,"N01200","N"
"3917",3918,"www.asvloehne.de",NA,"N01200","N"
"3918",3919,"www.asvpfungstadt.de",NA,"N01200","N"
"3919",3920,"www.athenae-gottingenses.de",NA,"N01300","N"
"3920",3921,"www.atlantis-tierhilfe.net",NA,"N05200","N"
"3921",3922,"www.atsv-sebaldsbrueck.de",NA,"N01200","N"
"3922",3923,"www.atsv-wurzen.de",NA,"N01200","N"
"3923",3924,"www.atsv.de",NA,"N01200","N"
"3924",3925,"www.atu-ev.de",NA,"N09100","N"
"3925",3926,"www.atv-1845.de",NA,"N01200","N"
"3926",3927,"www.atv-aachen.de",NA,"N01200","N"
"3927",3928,"www.atv-hannover.de",NA,"N01300","N"
"3928",3929,"www.atv-koeln.de",NA,"N01200","N"
"3929",3930,"www.atv-westmark.de",NA,"N01200","N"
"3930",3931,"www.atvgeilenkirchen.de",NA,"N01200","N"
"3931",3932,"www.atvzuberlin.de",NA,"N01200","N"
"3932",3933,"www.au-pair.de",NA,"N04100","N"
"3933",3934,"www.aufgehtsunna.de",NA,"N01200","N"
"3934",3935,"www.augustiner.de",NA,"N08100","N"
"3935",3936,"www.augustinum.de",NA,"N08100","N"
"3936",3937,"www.aupair-kiel-vij.de",NA,"N04100","N"
"3937",3938,"www.aurelia-ilvesheim.de",NA,"N01100","N"
"3938",3939,"www.aurich-lamberti.de",NA,"N10100","N"
"3939",3940,"www.aus-marl.de",NA,"N08100","N"
"3940",3941,"www.auslandsjuristen.de",NA,"N07200","N"
"3941",3942,"www.auswaertiges-amt.de",NA,"N11100","N"
"3942",3943,"www.autismus-goettingen.de",NA,"N04100","N"
"3943",3944,"www.autismus.de",NA,"N08100","N"
"3944",3945,"www.autodrom.de",NA,"N11100","N"
"3945",3946,"www.autohaus-horst.de",NA,"N01100","N"
"3946",3947,"www.autoimmun.org",NA,"N08100","N"
"3947",3948,"www.autoteile-klostermann.de",NA,"N10100","N"
"3948",3949,"www.av-forelle.de",NA,"N01200","N"
"3949",3950,"www.av-germania.com",NA,"N01200","N"
"3950",3951,"www.av-heide.de",NA,"N01200","N"
"3951",3952,"www.av-krakow.de",NA,"N01200","N"
"3952",3953,"www.av-kristall.de",NA,"N01300","N"
"3953",3954,"www.av-rheinstein.de",NA,"N06200","N"
"3954",3955,"www.av-wolmirstedt.de",NA,"N01200","N"
"3955",3956,"www.avb-brb.de",NA,"N08100","N"
"3956",3957,"www.avcheruscia.de",NA,"N01300","N"
"3957",3958,"www.aventerra.de",NA,"N02300","N"
"3958",3959,"www.awo-aachen-land.de",NA,"N04100","N"
"3959",3960,"www.awo-badsalzdetfurth.de",NA,"N04100","N"
"3960",3961,"www.awo-bremerhaven.de",NA,"N08100","N"
"3961",3962,"www.awo-diekholzen.de",NA,"N08100","N"
"3962",3963,"www.awo-duesseldorf.de",NA,"N08100","N"
"3963",3964,"www.awo-elsdorf.de",NA,"N04100","N"
"3964",3965,"www.awo-jugendreisen.de",NA,"N04100","N"
"3965",3966,"www.awo-kv-bernau.de",NA,"N04100","N"
"3966",3967,"www.awo-pflege.de",NA,"N08100","N"
"3967",3968,"www.awo-prignitz.de",NA,"N04100","N"
"3968",3969,"www.awo-rbk.de",NA,"N04100","N"
"3969",3970,"www.awo-rheinlandstiftung.de",NA,"N08100","N"
"3970",3971,"www.awo-trier-saarburg.de",NA,"N08100","N"
"3971",3972,"www.awovogtland.de",NA,"N04100","N"
"3972",3973,"www.awt-feedadditives.de",NA,"N05200","N"
"3973",3974,"www.awv09.de",NA,"N01200","N"
"3974",3975,"www.axel-kampmann-fonds.de",NA,"N04100","N"
"3975",3976,"www.azeh.com",NA,"N08100","N"
"3976",3977,"www.baanthai.de",NA,"N11100","N"
"3977",3978,"www.babelsberg03.de",NA,"N01200","N"
"3978",3979,"www.bach-chor-bonn.de",NA,"N01100","N"
"3979",3980,"www.bachchor.de",NA,"N01100","N"
"3980",3981,"www.backstage.org",NA,"N01300","N"
"3981",3982,"www.bad-fredeburg.de",NA,"N01300","N"
"3982",3983,"www.bad-rothenfelde.de",NA,"N01300","N"
"3983",3984,"www.badensdreamteam.de",NA,"N01300","N"
"3984",3985,"www.badminton-goehren.de",NA,"N01200","N"
"3985",3986,"www.badminton-verband-berlin.de",NA,"N01200","N"
"3986",3987,"www.bads.de",NA,"N08100","N"
"3987",3988,"www.badsodenfussball.de",NA,"N01200","N"
"3988",3989,"www.baeko-duesseldorf.de",NA,"N11100","N"
"3989",3990,"www.baeko-fulda-lahn.de",NA,"N11100","N"
"3990",3991,"www.baeko-hansa.de",NA,"N11100","N"
"3991",3992,"www.baeko-rhein-mosel.de",NA,"N11100","N"
"3992",3993,"www.baeko-sued-west.de",NA,"N11100","N"
"3993",3994,"www.baeko-weser-ems.de",NA,"N11100","N"
"3994",3995,"www.baeko-zentrale-sued.de",NA,"N11100","N"
"3995",3996,"www.baeko.de",NA,"N11100","N"
"3996",3997,"www.baer.de",NA,"N11100","N"
"3997",3998,"www.bafev.de",NA,"N04100","N"
"3998",3999,"www.baff-hamburg.de",NA,"N01300","N"
"3999",4000,"www.bag-tl.de",NA,"N08100","N"
"4000",4001,"www.bag-wohnungslosenhilfe.de",NA,"N08100","N"
"4001",4002,"www.bagcbf.de",NA,NA,"K"
"4002",4003,"www.bagh.de",NA,"N08100","N"
"4003",4004,"www.bagkjs.de",NA,"N10100","N"
"4004",4005,"www.bahnhof-wolbeck.de",NA,"N08100","N"
"4005",4006,"www.ballettfreundehamburg.de",NA,"N01300","N"
"4006",4007,"www.ballon-reise.de",NA,"N01200","N"
"4007",4008,"www.ballonteam-am-wiehengebirge.de",NA,"N01200","N"
"4008",4009,"www.ballonteam-luftschloss.de",NA,"N01200","N"
"4009",4010,"www.ballsport-osnabrueck.de",NA,"N01200","N"
"4010",4011,"www.balsaflieger.de",NA,"N01300","N"
"4011",4012,"www.baltia.de",NA,"N01300","N"
"4012",4013,"www.baltic-bandits.de",NA,"N01200","N"
"4013",4014,"www.bamaka.de",NA,"N11100","N"
"4014",4015,"www.bamenohl.de",NA,"N01200","N"
"4015",4016,"www.bamh.de",NA,"N10100","N"
"4016",4017,"www.bands-bielefeld.de",NA,"N01100","N"
"4017",4018,"www.baptisten-halle.de",NA,"N10100","N"
"4018",4019,"www.baptisten-leer.de",NA,"N10100","N"
"4019",4020,"www.baptisten-osnabrueck.de",NA,"N10100","N"
"4020",4021,"www.bargteheide.dlrg.de",NA,"N04200","N"
"4021",4022,"www.barmbek-uhlenhorst.de",NA,"N01200","N"
"4022",4023,"www.barspage.de",NA,"N01200","N"
"4023",4024,"www.bartzsch.de",NA,"N07200","N"
"4024",4025,"www.basecamp-prenzlau.de",NA,"N10100","N"
"4025",4026,"www.basketball-lintfort.de",NA,"N01200","N"
"4026",4027,"www.basketballverband-sachsen.de",NA,"N01200","N"
"4027",4028,"www.basys-ballonsysteme.de",NA,"N01200","N"
"4028",4029,"www.bat-bgl.de",NA,"N01200","N"
"4029",4030,"www.bat-witzenhausen.de",NA,"N05200","N"
"4030",4031,"www.bau-bildung.de",NA,"N08100","N"
"4031",4032,"www.bauamt-heidelberg.de",NA,"N10100","N"
"4032",4033,"www.bauernverband-demmin.de",NA,"N08100","N"
"4033",4034,"www.bauerpower.de",NA,"N05200","N"
"4034",4035,"www.bavaria-bonn.de",NA,"N01300","N"
"4035",4036,"www.bayer.de",NA,"N01200","N"
"4036",4037,"www.baz-do.de",NA,"N11100","N"
"4037",4038,"www.bbc-herne.de",NA,"N01200","N"
"4038",4039,"www.bbh.de",NA,"N07200","N"
"4039",4040,"www.bbk-bremen.de",NA,"N11100","N"
"4040",4041,"www.bbv-inside.de",NA,"N01200","N"
"4041",4042,"www.bbv-mannheim.de",NA,"N01300","N"
"4042",4043,"www.bbz-lebensart.de",NA,"N04100","N"
"4043",4044,"www.bc-borsigwalde.de",NA,"N01300","N"
"4044",4045,"www.bc-elm.de",NA,"N01200","N"
"4045",4046,"www.bc-foerde-flensburg.de",NA,"N01200","N"
"4046",4047,"www.bc-schalke.de",NA,"N01200","N"
"4047",4048,"www.bca2005.de",NA,"N01300","N"
"4048",4049,"www.bcc-ev.de",NA,"N01300","N"
"4049",4050,"www.bckirkel-limbach.de",NA,"N01300","N"
"4050",4051,"www.bcsolingen.de",NA,"N01200","N"
"4051",4052,"www.bctroisdorf.de",NA,"N01200","N"
"4052",4053,"www.bdb-bremen.de",NA,"N11100","N"
"4053",4054,"www.bdef.de",NA,"N01300","N"
"4054",4055,"www.bdf-web.de",NA,"N05200","N"
"4055",4056,"www.bdh-reha.de",NA,"N08100","N"
"4056",4057,"www.bdkj-mainz.de",NA,"N04100","N"
"4057",4058,"www.bdkj-paderborn.de",NA,"N10100","N"
"4058",4059,"www.bdkj-re.de",NA,"N10100","N"
"4059",4060,"www.bdkj-reinickendorf.de",NA,"N10100","N"
"4060",4061,"www.bdkj-zeltlager-mainz.de",NA,"N01200","N"
"4061",4062,"www.bdl-online.de",NA,"N07200","N"
"4062",4063,"www.bdmp.de",NA,"N01200","N"
"4063",4064,"www.bdp-luke.de",NA,"N04100","N"
"4064",4065,"www.bdp-rlp.de",NA,"N04100","N"
"4065",4066,"www.bdp-sh-hh.de",NA,"N04100","N"
"4066",4067,"www.bdp-stamm-rainbow.de",NA,"N04100","N"
"4067",4068,"www.beach-n-fun.de",NA,"N01200","N"
"4068",4069,"www.beachberlin.de",NA,"N01200","N"
"4069",4070,"www.beamten-wohnungs-verein.de",NA,"N11100","N"
"4070",4071,"www.bearded-info.de",NA,"N05200","N"
"4071",4072,"www.bec-harz.de",NA,"N01200","N"
"4072",4073,"www.beckumer-reiterverein.de",NA,"N01200","N"
"4073",4074,"www.begegnungszentrum-sonneck.de",NA,"N08100","N"
"4074",4075,"www.behindertenreferat.de",NA,"N10100","N"
"4075",4076,"www.behindertenselbsthilfe-moenchneversdorf.de",NA,"N08100","N"
"4076",4077,"www.behindertenverband-gvm.de",NA,"N08100","N"
"4077",4078,"www.behindertenverband-sok.de",NA,"N08100","N"
"4078",4079,"www.beinghumanfoundation.org",NA,"N08100","N"
"4079",4080,"www.beitraege-redaktion.de",NA,"N01300","N"
"4080",4081,"www.bekos-oldenburg.de",NA,"N08100","N"
"4081",4082,"www.belzigersgeinheit.de",NA,"N01200","N"
"4082",4083,"www.bendestorfer-reitverein.de",NA,"N01200","N"
"4083",4084,"www.benediktiner-orden.de",NA,"N10100","N"
"4084",4085,"www.benediktinerinnen-koeln.de",NA,"N10100","N"
"4085",4086,"www.benediktinerinnen-osnabrueck.de",NA,"N10100","N"
"4086",4087,"www.benediktinerinnen-trier.de",NA,"N10100","N"
"4087",4088,"www.bengi-ks.de",NA,"N01300","N"
"4088",4089,"www.beratung-in-krisen.de",NA,"N08100","N"
"4089",4090,"www.beratungsstelle-zeitraum.de",NA,"N10100","N"
"4090",4091,"www.bergaer-carneval-verein.de",NA,"N01300","N"
"4091",4092,"www.bergedorf.de",NA,"N01200","N"
"4092",4093,"www.bergedorfer-kanu-club.de",NA,"N01200","N"
"4093",4094,"www.bergen-online.de",NA,"N01300","N"
"4094",4095,"www.bergfunken.de",NA,"N01300","N"
"4095",4096,"www.berggrabebruederschaft-ehrenfriedersdorf.de",NA,"N01100","N"
"4096",4097,"www.berggut.de",NA,"N01300","N"
"4097",4098,"www.bergische-leichtathletik.de",NA,"N01200","N"
"4098",4099,"www.bergischesland.de",NA,"N01300","N"
"4099",4100,"www.bergkirche-schleiz.de",NA,"N10100","N"
"4100",4101,"www.bergkloster.de",NA,"N08100","N"
"4101",4102,"www.bergland-aachen.de",NA,"N01300","N"
"4102",4103,"www.bergsaenger.harz.de",NA,"N01100","N"
"4103",4104,"www.bergsportverein.de",NA,"N11100","N"
"4104",4105,"www.bergstadt-musikanten.de",NA,"N01100","N"
"4105",4106,"www.berimbau.berlin",NA,"N01200","N"
"4106",4107,"www.berlin-chamber-opera.de",NA,"N01100","N"
"4107",4108,"www.berlin-tourismus-online.de",NA,"N01300","N"
"4108",4109,"www.berlinbiennale.de",NA,"N01100","N"
"4109",4110,"www.berliner-besucherring.de",NA,"N08100","N"
"4110",4111,"www.berliner-burschenschaft.de",NA,"N01300","N"
"4111",4112,"www.berliner-fechterbund.de",NA,"N01200","N"
"4112",4113,"www.berliner-geschichtswerkstatt.de",NA,"N01100","N"
"4113",4114,"www.berliner-konzert-chor.de",NA,"N01100","N"
"4114",4115,"www.berliner-lehrerchor.de",NA,"N01100","N"
"4115",4116,"www.berliner-ruder-club.de",NA,"N01200","N"
"4116",4117,"www.berliner-schwimm-verband.de",NA,"N01200","N"
"4117",4118,"www.berliner-sparkasse.de",NA,"N08100","N"
"4118",4119,"www.berliner-stage-company.de",NA,"N01100","N"
"4119",4120,"www.berliner-symphoniker.de",NA,"N01100","N"
"4120",4121,"www.berlinerbank.de",NA,"N08100","N"
"4121",4122,"www.berlinerfk.de",NA,"N01200","N"
"4122",4123,"www.berlinerfrauennetzwerk.de",NA,"N01300","N"
"4123",4124,"www.berlinerjugendclub.de",NA,"N04100","N"
"4124",4125,"www.berlinerkuenstlerkolonie.de",NA,"N11100","N"
"4125",4126,"www.berlinerrockundpoparchiv.de",NA,"N01100","N"
"4126",4127,"www.berlinerschachverband.de",NA,"N01300","N"
"4127",4128,"www.berlinertsc.de",NA,"N01200","N"
"4128",4129,"www.berlinerturnerschaft.de",NA,"N01200","N"
"4129",4130,"www.berlineryachtclub.de",NA,"N01200","N"
"4130",4131,"www.berlintrab.de",NA,"N01200","N"
"4131",4132,"www.berufsfoerderung.de",NA,"N02400","N"
"4132",4133,"www.berumerfehn.de",NA,"N01200","N"
"4133",4134,"www.beschlagindustrie.de",NA,"N02400","N"
"4134",4135,"www.besselrc.de",NA,"N01200","N"
"4135",4136,"www.best-of-germany.de",NA,"N08100","N"
"4136",4137,"www.bethania.de",NA,"N10100","N"
"4137",4138,"www.bethel.de",NA,"N08100","N"
"4138",4139,"www.betriebssportverband-haenru.de",NA,"N01200","N"
"4139",4140,"www.bettrath.de",NA,"N10100","N"
"4140",4141,"www.bettv.de",NA,"N01200","N"
"4141",4142,"www.beueler-judo-club.de",NA,"N01200","N"
"4142",4143,"www.bewegungswerkstatt-magdeburg.de",NA,"N01200","N"
"4143",4144,"www.beyeroehder-handballgirls.de",NA,"N01200","N"
"4144",4145,"www.bezev.de",NA,"N08100","N"
"4145",4146,"www.bezirksbruderschaften.de",NA,"N01200","N"
"4146",4147,"www.bezirksverband-hildesheim-der-kleingaertner.de",NA,"N05100","N"
"4147",4148,"www.bfc-alemannia-1890.de",NA,"N01200","N"
"4148",4149,"www.bffl-volkersheim.de",NA,"N01100","N"
"4149",4150,"www.bfjd.de",NA,"N08100","N"
"4150",4151,"www.bfrweitmar.de",NA,"N01300","N"
"4151",4152,"www.bfst.de",NA,"N11100","N"
"4152",4153,"www.bft-online.de",NA,"N05200","N"
"4153",4154,"www.bfv1889ev.de",NA,"N01200","N"
"4154",4155,"www.bg-augsburg.de",NA,"N05200","N"
"4155",4156,"www.bgbonn.de",NA,"N08100","N"
"4156",4157,"www.bghh.de",NA,"N10100","N"
"4157",4158,"www.bgv-simmern.de",NA,"N01200","N"
"4158",4159,"www.bgz.net",NA,"N01200","N"
"4159",4160,"www.bhennig.de",NA,"N07200","N"
"4160",4161,"www.bhv-spaden.de",NA,"N01300","N"
"4161",4162,"www.bi-50tausendbaeume.de",NA,"N05100","N"
